cmte_id,cand_id,,,cand_nm,recipient_nm, disb_amt ,disb_dt,recipient_city,recipient_st,recipient_zip,disb_desc,memo_cd,memo_text,form_tp,file_num,tran_id,election_tp,unused,serialid,FEC ID 
C00575373,P60006723,,vs.Rubio,MAKE AMERICA NUMBER 1,CAMBRIDGE ANALYTICA,"$5,965.00",1/17/16,BEVERLY HILLS,CA,90211,MEDIA,http://docquery.fec.gov/cgi-bin/forms/C00575373/1040487/se,,,,,,,,
C00575373,P80001571,,DJT,MAKE AMERICA NUMBER 1,CAMBRIDGE ANALYTICA,$838.00,2/2/16,BEVERLY HILLS,CA,90211,MEDIA,http://docquery.fec.gov/cgi-bin/forms/C00575373/1047945/se,,,,,,,,
C00575373,P60006723,,vs.Rubio,MAKE AMERICA NUMBER 1,CAMBRIDGE ANALYTICA,"$3,000.00",1/17/16,BEVERLY HILLS,CA,90211,MEDIA,http://docquery.fec.gov/cgi-bin/forms/C00575373/1040486/se,,,,,,,,
C00575373,P00003392,,vs.Hillary,MAKE AMERICA NUMBER 1,CAMBRIDGE ANALYTICA,"$16,500.00",9/27/16,ALEXANDRIA,VA,22314,MEDIA,http://docquery.fec.gov/cgi-bin/forms/C00575373/1101395/se,,,,,,,,
,,SC,OPPOSE,KEEP THE PROMISE 1,CAMBRIDGE ANALYTICA,$855.00,1/14/16,BEVERLY HILLS,CA,90211,MEDIA,http://docquery.fec.gov/pdf/585/201602049008439585/201602049008439585.pdf,,,,,,,,
,,SC,Cruz,KEEP THE PROMISE 1,CAMBRIDGE ANALYTICA,"$11,947.94",12/10/15,BEVERLY HILLS,CA,90211,MEDIA,http://docquery.fec.gov/pdf/130/201601019004427130/201601019004427130.pdf,,,,,,,,
,,,Robinson,ART ROBINSON FOR CONGRESS,CAMBRIDGE ANALYTICA,"$10,000.00",6/10/14,WILMINGTON ,DE,19801,CAMPAIGN CONSULTING,http://docquery.fec.gov/cgi-bin/forms/C00481341/940105/sb/17,,,,,,,,
C00545772,,,,THOM THILLIS,CAMBRIDGE ANALYTICA, ? ,5/7/15,RALEIGH,NC,27624,NOTICE ,http://docquery.fec.gov/pdf/728/15330082728/15330082728.pdf,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,running total,"$4,002,291.23",,,,,,,,,,,,,,
